Index,Time,SPE,Threshold,outlier_status,io_usage,network_usage,cpu_percent,ram_usage,Container
725,2019-11-28 18:42:14.418000,393.94074640486116,8921.909340156095,0,4392000,25040,0.0,9079560863.744,6ffd41e1fbc1
726,2019-11-28 18:42:14.418000,1305.374649463613,8921.909340156095,0,0,25040,0.0,2459539865.6,f06963f3ad95
727,2019-11-28 18:42:14.418000,23191.13409667118,8921.909340156095,0,259200000,53680,9.78,318515445.76,bca9d260c15b
728,2019-11-28 18:42:14.917000,3253.3222612333357,8921.909340156095,0,109600000,25200,8.56,215419453.44,6a5af19b5b83
729,2019-11-28 18:42:14.917000,3413.0499252653512,8921.909340156095,0,188000000,26080,0.02,371112017.92,5d2823fff256
730,2019-11-28 18:42:14.917000,2420.799148193488,8921.909340156095,0,424000000,35200,0.18,251658240.0,2a92371640c3
731,2019-11-28 18:42:14.917000,425.099765178535,8921.909340156095,0,4000000,25600,0.0,7069918822.4,1d1a77a500f9
732,2019-11-28 18:42:14.917000,1426.4354254696227,8921.909340156095,0,4456000,25600,0.0,128765132.8,4cc3cf79a2c4
733,2019-11-28 18:42:14.918000,1064.9379360478445,8921.909340156095,0,0,25600,0.0,1257452339.2,abbf5599c150
734,2019-11-28 18:42:14.918000,495.33765591668197,8921.909340156095,0,71440000,27360,0.0,485364858.88,1cb4575d17f4
735,2019-11-28 18:42:14.918000,1215.742836299086,8921.909340156095,0,1016000000,39680,1.02,428657868.8,2eeb54d55f3b
736,2019-11-28 18:42:14.918000,1345.2451931006508,8921.909340156095,0,5176000,25600,0.0,471523655.68,7437635703d2
737,2019-11-28 18:42:14.918000,1213.3028249908104,8921.909340156095,0,4064000,25600,0.0,910163968.0,01f13e58f338
738,2019-11-28 18:42:14.918000,953.9344604829975,8921.909340156095,0,4392000,25600,0.0,9079560863.744,6ffd41e1fbc1
739,2019-11-28 18:42:14.918000,745.3756569513997,8921.909340156095,0,0,25600,0.0,2459539865.6,f06963f3ad95
740,2019-11-28 18:42:14.918000,24725.286940908303,8921.909340156095,0,273600000,55440,8.54,215922769.92,bca9d260c15b
741,2019-11-28 18:42:15.417000,3253.3222612333357,8921.909340156095,0,109600000,25200,8.56,215419453.44,6a5af19b5b83
742,2019-11-28 18:42:15.417000,3413.0499252653512,8921.909340156095,0,188000000,26080,0.02,371112017.92,5d2823fff256
743,2019-11-28 18:42:15.417000,2420.799148193488,8921.909340156095,0,424000000,35200,0.18,251658240.0,2a92371640c3
744,2019-11-28 18:42:15.417000,425.099765178535,8921.909340156095,0,4000000,25600,0.0,7069918822.4,1d1a77a500f9
745,2019-11-28 18:42:15.417000,1426.4354254696227,8921.909340156095,0,4456000,25600,0.0,128765132.8,4cc3cf79a2c4
746,2019-11-28 18:42:15.417000,1064.9379360478445,8921.909340156095,0,0,25600,0.0,1257452339.2,abbf5599c150
747,2019-11-28 18:42:15.418000,495.33765591668197,8921.909340156095,0,71440000,27360,0.0,485364858.88,1cb4575d17f4
748,2019-11-28 18:42:15.418000,1215.742836299086,8921.909340156095,0,1016000000,39680,1.02,428657868.8,2eeb54d55f3b
749,2019-11-28 18:42:15.418000,1345.2451931006508,8921.909340156095,0,5176000,25600,0.0,471523655.68,7437635703d2
750,2019-11-28 18:42:15.418000,1213.3028249908104,8921.909340156095,0,4064000,25600,0.0,910163968.0,01f13e58f338
751,2019-11-28 18:42:15.418000,953.9344604829975,8921.909340156095,0,4392000,25600,0.0,9079560863.744,6ffd41e1fbc1
752,2019-11-28 18:42:15.418000,745.3756569513997,8921.909340156095,0,0,25600,0.0,2459539865.6,f06963f3ad95
753,2019-11-28 18:42:15.418000,24725.286940908303,8921.909340156095,0,273600000,55440,8.54,215922769.92,bca9d260c15b
754,2019-11-28 18:42:15.917000,3253.3222612333357,8921.909340156095,0,109600000,25200,8.56,215419453.44,6a5af19b5b83
755,2019-11-28 18:42:15.917000,3413.0499252653512,8921.909340156095,0,188000000,26080,0.02,371112017.92,5d2823fff256
